Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FSR1;FRS2;FSR3;FSR4
2017-04-13;10:50:34:3409;1163004;5;0;513;933;0;925;948;
2017-04-13;10:50:34:3409;1163014;9;0;515;936;0;924;946;
2017-04-13;10:50:34:3564;1163024;8;0;515;935;0;924;946;
2017-04-13;10:50:34:3564;1163034;8;0;514;935;0;924;946;
2017-04-13;10:50:34:3732;1163044;8;0;514;935;0;924;946;
2017-04-13;10:50:34:3732;1163054;9;0;515;935;0;923;946;
2017-04-13;10:50:34:3898;1163064;8;0;514;935;0;923;947;
2017-04-13;10:50:34:4061;1163074;9;0;513;935;0;923;947;
2017-04-13;10:50:34:4061;1163084;7;0;514;934;0;923;947;
2017-04-13;10:50:34:4226;1163094;9;0;514;934;0;923;947;
2017-04-13;10:50:34:4390;1163104;8;0;514;934;0;923;947;
2017-04-13;10:50:34:4390;1163114;8;0;515;934;0;923;947;
2017-04-13;10:50:34:4559;1163124;8;0;514;934;0;923;948;
2017-04-13;10:50:34:4559;1163134;9;0;513;934;0;923;948;
2017-04-13;10:50:34:4725;1163144;7;0;513;933;0;923;948;
2017-04-13;10:50:34:4890;1163154;8;0;513;933;0;923;948;
2017-04-13;10:50:34:4890;1163164;8;0;513;933;0;922;948;
2017-04-13;10:50:34:5052;1163174;7;0;512;933;0;922;948;
2017-04-13;10:50:34:5057;1163184;7;0;511;933;0;922;948;
2017-04-13;10:50:34:5222;1163194;9;0;513;933;0;922;948;
2017-04-13;10:50:34:5386;1163204;8;0;515;933;0;922;948;
2017-04-13;10:50:34:5386;1163214;9;0;515;933;0;922;948;
2017-04-13;10:50:34:5551;1163224;8;0;515;934;0;921;948;
2017-04-13;10:50:34:5551;1163234;8;0;514;934;0;921;948;
2017-04-13;10:50:34:5719;1163244;8;0;513;934;0;921;948;
2017-04-13;10:50:34:5881;1163254;8;0;513;934;0;921;948;
2017-04-13;10:50:34:5886;1163264;7;0;512;934;0;921;948;
2017-04-13;10:50:34:6050;1163274;7;0;511;934;0;921;948;
2017-04-13;10:50:34:6218;1163284;7;0;511;934;0;921;948;
2017-04-13;10:50:34:6218;1163294;8;0;511;934;0;922;948;
2017-04-13;10:50:34:6380;1163304;7;0;511;934;0;922;948;
2017-04-13;10:50:34:6380;1163314;5;0;512;934;0;922;948;
2017-04-13;10:50:34:6547;1163324;3;0;512;934;0;922;948;
2017-04-13;10:50:34:6713;1163334;8;0;513;934;0;922;948;
2017-04-13;10:50:34:6713;1163344;7;0;513;934;0;923;948;
2017-04-13;10:50:34:6875;1163354;9;0;513;934;0;923;948;
2017-04-13;10:50:34:6875;1163364;7;0;515;934;0;923;948;
2017-04-13;10:50:34:7046;1163374;3;0;516;934;0;923;948;
2017-04-13;10:50:34:7227;1163384;8;0;516;934;0;923;948;
2017-04-13;10:50:34:7227;1163394;8;0;516;934;0;923;948;
2017-04-13;10:50:34:7374;1163404;8;0;516;934;0;923;948;
2017-04-13;10:50:34:7374;1163414;8;0;513;934;0;923;948;
2017-04-13;10:50:34:7542;1163424;7;0;511;934;0;923;948;
2017-04-13;10:50:34:7542;1163435;8;0;509;934;0;923;948;
2017-04-13;10:50:34:7705;1163445;7;0;510;934;0;924;948;
2017-04-13;10:50:34:7871;1163455;8;0;511;934;0;924;948;
2017-04-13;10:50:34:7871;1163465;7;0;512;934;0;924;948;
2017-04-13;10:50:34:8038;1163475;7;0;512;934;0;924;948;
2017-04-13;10:50:34:8202;1163485;7;0;510;934;0;924;948;
2017-04-13;10:50:34:8202;1163495;8;0;510;934;0;924;948;
2017-04-13;10:50:34:8369;1163505;7;0;510;934;0;924;948;
2017-04-13;10:50:34:8369;1163515;8;0;510;934;0;924;948;
2017-04-13;10:50:34:8534;1163525;7;0;511;935;0;924;948;
2017-04-13;10:50:34:8701;1163535;8;0;512;935;0;923;948;
2017-04-13;10:50:34:8701;1163545;8;0;512;935;0;924;948;
2017-04-13;10:50:34:8866;1163555;8;0;510;935;0;923;948;
2017-04-13;10:50:34:8866;1163565;7;0;510;935;0;923;948;
2017-04-13;10:50:34:9034;1163575;8;0;510;935;0;923;948;
2017-04-13;10:50:34:9195;1163585;7;0;510;935;0;924;948;
2017-04-13;10:50:34:9195;1163595;8;0;512;935;0;923;948;
2017-04-13;10:50:34:9361;1163606;3;0;513;935;0;923;948;
2017-04-13;10:50:34:9525;1163616;8;0;513;935;0;923;948;
2017-04-13;10:50:34:9525;1163626;8;0;514;935;0;923;947;
2017-04-13;10:50:34:9695;1163636;8;0;515;935;0;923;948;
2017-04-13;10:50:34:9695;1163646;8;0;516;935;0;924;947;
2017-04-13;10:50:34:9860;1163656;4;0;515;935;0;923;947;
2017-04-13;10:50:35:0025;1163666;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0025;1163676;9;0;514;935;0;923;947;
2017-04-13;10:50:35:0190;1163686;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0190;1163696;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0358;1163706;8;0;514;935;0;923;947;
2017-04-13;10:50:35:0522;1163716;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0522;1163726;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0685;1163736;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0685;1163746;8;0;514;935;0;924;947;
2017-04-13;10:50:35:0851;1163756;8;0;514;935;0;924;947;
2017-04-13;10:50:35:1021;1163766;8;0;513;935;0;924;947;
2017-04-13;10:50:35:1021;1163776;7;0;512;935;0;924;947;
2017-04-13;10:50:35:1185;1163786;8;0;511;935;0;924;947;
2017-04-13;10:50:35:1185;1163796;8;0;510;935;0;924;947;
2017-04-13;10:50:35:1351;1163806;8;0;510;935;0;924;947;
2017-04-13;10:50:35:1519;1163816;8;0;510;935;0;924;948;
2017-04-13;10:50:35:1519;1163826;8;0;510;935;0;924;947;
2017-04-13;10:50:35:1683;1163836;8;0;512;935;0;924;947;
2017-04-13;10:50:35:1683;1163846;8;0;513;935;0;924;947;
2017-04-13;10:50:35:1849;1163856;8;0;514;935;0;924;947;
2017-04-13;10:50:35:2012;1163866;8;0;513;935;0;924;947;
2017-04-13;10:50:35:2012;1163876;8;0;513;935;0;924;947;
2017-04-13;10:50:35:2185;1163886;7;0;512;935;0;924;947;
2017-04-13;10:50:35:2185;1163896;8;0;511;935;0;924;947;
2017-04-13;10:50:35:2346;1163906;8;0;511;935;0;924;947;
2017-04-13;10:50:35:2511;1163916;8;0;509;935;0;924;947;
2017-04-13;10:50:35:2511;1163926;7;0;509;935;0;924;947;
2017-04-13;10:50:35:2677;1163936;8;0;510;935;0;924;947;
2017-04-13;10:50:35:2677;1163947;7;0;511;935;0;924;947;
2017-04-13;10:50:35:2843;1163957;8;0;511;935;0;924;947;
2017-04-13;10:50:35:3005;1163967;7;0;512;935;0;924;947;
2017-04-13;10:50:35:3005;1163977;8;0;511;935;0;924;947;
2017-04-13;10:50:35:3174;1163987;8;0;511;935;0;924;947;
2017-04-13;10:50:35:3340;1163997;8;0;510;935;0;924;947;
2017-04-13;10:50:35:3340;1164007;8;0;511;935;0;924;947;
2017-04-13;10:50:35:3507;1164017;8;0;512;935;0;924;948;
2017-04-13;10:50:35:3507;1164027;8;0;513;935;0;924;947;
2017-04-13;10:50:35:3668;1164037;11;0;513;935;0;924;948;
2017-04-13;10:50:35:3834;1164047;8;0;514;935;0;924;948;
2017-04-13;10:50:35:3834;1164057;8;0;514;935;0;924;948;
2017-04-13;10:50:35:4003;1164067;8;0;514;934;0;924;948;
2017-04-13;10:50:35:4003;1164077;8;0;515;935;0;924;948;
2017-04-13;10:50:35:4164;1164087;7;3001;515;935;0;924;948;
2017-04-13;10:50:35:4334;1164097;7;0;516;935;0;924;948;
2017-04-13;10:50:35:4334;1164107;6;0;515;935;0;924;948;
2017-04-13;10:50:35:4496;1164118;7;0;515;935;0;924;948;
2017-04-13;10:50:35:4663;1164128;7;0;515;935;0;924;948;
2017-04-13;10:50:35:4663;1164138;7;0;516;935;0;924;948;
2017-04-13;10:50:35:4829;1164148;7;0;516;935;0;924;948;
2017-04-13;10:50:35:4829;1164158;7;0;517;935;0;924;948;
2017-04-13;10:50:35:4995;1164168;7;0;517;935;0;924;948;
2017-04-13;10:50:35:4995;1164178;7;0;516;935;0;924;948;
2017-04-13;10:50:35:5160;1164188;7;0;515;935;0;924;948;
2017-04-13;10:50:35:5324;1164198;6;0;514;935;0;924;947;
2017-04-13;10:50:35:5329;1164208;7;0;513;935;0;924;948;
2017-04-13;10:50:35:5494;1164218;8;0;512;935;0;925;947;
2017-04-13;10:50:35:5494;1164228;8;0;513;934;0;924;947;
2017-04-13;10:50:35:5657;1164238;7;0;511;935;0;924;948;
2017-04-13;10:50:35:5822;1164248;7;0;511;935;0;924;948;
2017-04-13;10:50:35:5822;1164258;7;0;512;935;0;924;948;
2017-04-13;10:50:35:5987;1164268;8;0;512;935;0;924;948;
2017-04-13;10:50:35:6153;1164278;7;0;512;935;0;924;948;
2017-04-13;10:50:35:6153;1164288;8;0;512;935;0;924;948;
2017-04-13;10:50:35:6318;1164298;7;0;513;935;0;924;948;
2017-04-13;10:50:35:6323;1164308;8;0;514;935;0;924;948;
2017-04-13;10:50:35:6486;1164318;3;0;516;935;0;924;948;
2017-04-13;10:50:35:6651;1164328;8;0;516;935;0;924;948;
2017-04-13;10:50:35:6651;1164338;7;0;518;935;0;924;948;
2017-04-13;10:50:35:6818;1164348;7;0;517;935;0;924;948;
2017-04-13;10:50:35:6818;1164358;7;0;516;935;0;924;948;
2017-04-13;10:50:35:6985;1164368;7;0;516;934;0;924;948;
2017-04-13;10:50:35:7147;1164378;7;0;515;934;0;924;948;
2017-04-13;10:50:35:7147;1164388;7;0;513;934;0;924;948;
2017-04-13;10:50:35:7320;1164398;7;0;511;934;0;924;948;
2017-04-13;10:50:35:7320;1164408;7;0;512;934;0;924;948;
2017-04-13;10:50:35:7478;1164418;10;0;511;934;0;924;948;
2017-04-13;10:50:35:7648;1164428;7;0;510;934;0;924;948;
2017-04-13;10:50:35:7653;1164438;7;0;510;934;0;924;948;
2017-04-13;10:50:35:7817;1164448;8;0;510;934;0;924;948;
2017-04-13;10:50:35:7817;1164459;7;0;509;934;0;924;948;
2017-04-13;10:50:35:7977;1164469;8;0;510;934;0;924;948;
2017-04-13;10:50:35:8140;1164479;7;0;510;934;0;924;948;
2017-04-13;10:50:35:8145;1164489;8;0;511;934;0;924;948;
2017-04-13;10:50:35:8309;1164499;7;0;512;934;0;923;948;
2017-04-13;10:50:35:8309;1164509;8;0;513;934;0;924;948;
2017-04-13;10:50:35:8476;1164519;8;0;513;934;0;924;948;
2017-04-13;10:50:35:8639;1164529;8;0;511;934;0;923;948;
2017-04-13;10:50:35:8639;1164539;7;0;512;934;0;924;948;
2017-04-13;10:50:35:8804;1164549;8;0;511;934;0;924;948;
2017-04-13;10:50:35:8804;1164559;8;0;511;934;0;924;948;
2017-04-13;10:50:35:8975;1164569;11;0;511;934;0;924;948;
2017-04-13;10:50:35:9134;1164579;697;0;512;934;0;924;948;
2017-04-13;10:50:35:9134;1164589;678;0;512;934;0;924;948;
2017-04-13;10:50:35:9303;1164599;672;0;512;934;0;924;948;
2017-04-13;10:50:35:9303;1164609;666;0;513;934;0;924;948;
2017-04-13;10:50:35:9466;1164619;666;0;513;934;0;924;948;
2017-04-13;10:50:35:9633;1164630;661;0;514;934;0;924;948;
2017-04-13;10:50:35:9633;1164640;662;0;513;934;0;924;948;
2017-04-13;10:50:35:9799;1164650;659;0;511;934;0;924;948;
2017-04-13;10:50:35:9965;1164660;657;0;511;934;0;924;948;
2017-04-13;10:50:35:9965;1164670;629;0;511;934;0;924;948;
2017-04-13;10:50:36:0130;1164680;623;0;510;934;0;924;948;
2017-04-13;10:50:36:0130;1164690;635;0;510;934;0;924;948;
2017-04-13;10:50:36:0299;1164700;659;0;510;934;0;924;948;
2017-04-13;10:50:36:0462;1164710;656;0;511;934;0;924;948;
2017-04-13;10:50:36:0462;1164720;656;0;512;935;0;924;948;
2017-04-13;10:50:36:0628;1164730;654;0;512;934;0;924;948;
2017-04-13;10:50:36:0628;1164740;652;0;511;935;0;924;948;
2017-04-13;10:50:36:0795;1164750;653;0;511;934;0;924;948;
2017-04-13;10:50:36:0960;1164760;657;0;512;935;0;924;948;
2017-04-13;10:50:36:0960;1164770;646;0;512;935;0;924;948;
2017-04-13;10:50:36:1124;1164780;580;0;514;935;0;924;948;
2017-04-13;10:50:36:1293;1164790;645;0;514;935;0;924;948;
2017-04-13;10:50:36:1293;1164800;602;0;515;935;0;924;948;
2017-04-13;10:50:36:1456;1164810;648;721;515;934;0;924;948;
2017-04-13;10:50:36:1456;1164820;565;0;515;935;0;924;948;
2017-04-13;10:50:36:1627;1164830;483;0;516;934;0;924;948;
2017-04-13;10:50:36:1791;1164840;660;0;515;934;0;924;948;
2017-04-13;10:50:36:1791;1164850;655;0;513;935;0;924;948;
2017-04-13;10:50:36:1953;1164860;656;0;514;935;0;924;948;
2017-04-13;10:50:36:1953;1164870;653;0;515;935;0;924;948;
2017-04-13;10:50:36:2121;1164880;593;0;516;935;0;924;948;
2017-04-13;10:50:36:2121;1164890;514;0;515;934;0;924;948;
2017-04-13;10:50:36:2283;1164900;630;0;514;935;0;924;948;
2017-04-13;10:50:36:2452;1164910;601;0;514;934;0;924;948;
2017-04-13;10:50:36:2452;1164920;649;0;512;934;0;924;948;
2017-04-13;10:50:36:2617;1164930;648;0;512;935;0;924;948;
2017-04-13;10:50:36:2617;1164940;638;0;510;935;0;924;948;
2017-04-13;10:50:36:2782;1164950;653;0;509;935;0;924;948;
2017-04-13;10:50:36:2948;1164960;655;0;510;935;0;924;948;
2017-04-13;10:50:36:2948;1164971;652;0;510;935;0;924;948;
2017-04-13;10:50:36:3111;1164981;655;0;511;935;0;924;948;
2017-04-13;10:50:36:3279;1164991;651;0;512;935;0;924;948;
2017-04-13;10:50:36:3279;1165001;655;0;513;935;0;924;948;
2017-04-13;10:50:36:3443;1165011;651;0;513;935;0;924;948;
2017-04-13;10:50:36:3443;1165021;654;0;513;935;0;924;948;
2017-04-13;10:50:36:3608;1165031;650;0;514;935;0;924;948;
2017-04-13;10:50:36:3774;1165041;655;0;514;935;0;924;948;
2017-04-13;10:50:36:3774;1165051;650;0;513;935;0;924;948;
2017-04-13;10:50:36:3943;1165061;653;0;513;935;0;924;948;
2017-04-13;10:50:36:3943;1165071;649;0;513;935;0;924;948;
2017-04-13;10:50:36:4108;1165081;653;0;513;935;0;924;948;
2017-04-13;10:50:36:4273;1165091;595;0;513;934;0;924;948;
2017-04-13;10:50:36:4273;1165101;600;0;514;935;0;924;948;
2017-04-13;10:50:36:4438;1165111;594;0;514;934;0;924;948;
2017-04-13;10:50:36:4438;1165121;607;0;514;935;0;924;948;
2017-04-13;10:50:36:4604;1165131;601;0;515;935;0;924;948;
2017-04-13;10:50:36:4771;1165142;610;0;515;934;0;924;948;
2017-04-13;10:50:36:4771;1165152;608;0;515;935;0;924;948;
2017-04-13;10:50:36:4937;1165162;607;0;515;935;0;924;948;
2017-04-13;10:50:36:5099;1165172;601;0;515;934;0;924;948;
2017-04-13;10:50:36:5099;1165182;606;0;515;935;0;924;948;
2017-04-13;10:50:36:5267;1165192;602;0;516;935;0;924;948;
2017-04-13;10:50:36:5267;1165202;611;0;516;935;0;924;948;
2017-04-13;10:50:36:5432;1165212;612;401;516;935;0;924;948;
2017-04-13;10:50:36:5599;1165222;618;0;517;935;0;924;948;
2017-04-13;10:50:36:5599;1165232;616;0;516;934;0;924;948;
2017-04-13;10:50:36:5762;1165242;616;0;513;935;0;924;948;
2017-04-13;10:50:36:5762;1165252;608;0;511;935;0;924;948;
2017-04-13;10:50:36:5931;1165262;614;0;511;935;0;924;948;
2017-04-13;10:50:36:5931;1165272;612;0;511;935;0;924;948;
2017-04-13;10:50:36:6097;1165282;617;0;512;935;0;924;948;
2017-04-13;10:50:36:6258;1165292;618;0;512;934;0;924;948;
2017-04-13;10:50:36:6263;1165302;623;0;512;935;0;924;948;
2017-04-13;10:50:36:6432;1165312;618;0;512;935;0;924;948;
2017-04-13;10:50:36:6432;1165322;630;0;513;935;0;924;948;
2017-04-13;10:50:36:6590;1165332;623;0;513;935;0;924;948;
2017-04-13;10:50:36:6756;1165342;627;0;513;935;0;924;948;
2017-04-13;10:50:36:6756;1165352;623;0;514;935;0;924;948;
2017-04-13;10:50:36:6922;1165362;623;0;516;935;0;924;948;
2017-04-13;10:50:36:7087;1165372;621;0;515;935;0;924;948;
2017-04-13;10:50:36:7087;1165382;619;0;515;935;0;924;948;
2017-04-13;10:50:36:7252;1165392;613;0;516;935;0;924;948;
2017-04-13;10:50:36:7252;1165402;618;0;516;935;0;924;948;
2017-04-13;10:50:36:7420;1165412;617;0;516;935;0;924;948;
2017-04-13;10:50:36:7588;1165422;629;0;516;935;0;924;948;
2017-04-13;10:50:36:7588;1165432;614;0;517;935;0;924;948;
2017-04-13;10:50:36:7754;1165442;622;0;517;935;0;924;948;
2017-04-13;10:50:36:7754;1165452;620;0;517;935;0;924;948;
2017-04-13;10:50:36:7916;1165462;621;0;516;935;0;924;948;
2017-04-13;10:50:36:8085;1165472;623;0;515;935;0;924;948;
2017-04-13;10:50:36:8085;1165483;622;0;516;935;0;924;948;
2017-04-13;10:50:36:8247;1165493;620;0;517;935;0;924;948;
2017-04-13;10:50:36:8418;1165503;620;0;516;935;0;924;948;
2017-04-13;10:50:36:8418;1165513;619;0;515;935;0;924;948;
2017-04-13;10:50:36:8581;1165523;619;0;514;935;0;924;948;
2017-04-13;10:50:36:8581;1165533;612;0;513;935;0;924;948;
2017-04-13;10:50:36:8748;1165543;615;0;513;935;0;924;948;
2017-04-13;10:50:36:8910;1165553;617;0;512;935;0;924;948;
2017-04-13;10:50:36:8910;1165563;615;0;511;935;0;924;948;
2017-04-13;10:50:36:9077;1165573;617;0;510;935;0;924;948;
2017-04-13;10:50:36:9077;1165583;617;0;509;935;0;924;948;
2017-04-13;10:50:36:9240;1165593;618;0;509;935;0;924;948;
2017-04-13;10:50:36:9407;1165603;624;0;509;935;0;924;948;
2017-04-13;10:50:36:9407;1165613;617;0;510;935;0;924;948;
2017-04-13;10:50:36:9574;1165623;620;0;510;935;0;924;948;
2017-04-13;10:50:36:9574;1165633;617;0;510;935;0;924;948;
2017-04-13;10:50:36:9737;1165643;624;0;511;935;0;924;948;
2017-04-13;10:50:36:9904;1165654;614;0;513;935;0;924;948;
2017-04-13;10:50:36:9904;1165664;621;0;514;935;0;924;948;
2017-04-13;10:50:37:0071;1165674;619;0;514;935;0;924;948;
2017-04-13;10:50:37:0071;1165684;614;0;513;935;0;924;948;
2017-04-13;10:50:37:0238;1165694;618;0;513;935;0;924;948;
2017-04-13;10:50:37:0403;1165704;622;0;512;935;0;924;948;
2017-04-13;10:50:37:0403;1165714;615;0;511;935;0;924;948;
2017-04-13;10:50:37:0567;1165724;619;0;511;935;0;924;948;
2017-04-13;10:50:37:0567;1165734;612;0;512;935;0;924;948;
2017-04-13;10:50:37:0733;1165744;613;0;513;935;0;924;948;
2017-04-13;10:50:37:0905;1165754;609;0;515;935;0;924;948;
2017-04-13;10:50:37:0905;1165764;606;555;516;935;0;924;948;
2017-04-13;10:50:37:1065;1165775;603;0;515;935;0;924;948;
2017-04-13;10:50:37:1228;1165785;610;0;515;935;0;924;948;
2017-04-13;10:50:37:1228;1165795;616;0;515;935;0;924;948;
2017-04-13;10:50:37:1397;1165805;617;0;515;935;0;924;948;
2017-04-13;10:50:37:1397;1165815;617;0;515;935;0;924;948;
2017-04-13;10:50:37:1560;1165825;613;0;515;935;0;924;948;
2017-04-13;10:50:37:1726;1165835;606;0;515;935;0;924;948;
2017-04-13;10:50:37:1726;1165845;611;0;516;935;0;924;948;
2017-04-13;10:50:37:1892;1165855;612;0;517;935;0;924;948;
2017-04-13;10:50:37:1892;1165865;572;0;518;935;0;924;948;
2017-04-13;10:50:37:2060;1165875;567;0;518;935;0;924;948;
2017-04-13;10:50:37:2223;1165885;567;0;517;935;0;924;948;
2017-04-13;10:50:37:2223;1165895;561;0;516;935;0;924;948;
2017-04-13;10:50:37:2389;1165905;575;0;515;935;0;924;948;
2017-04-13;10:50:37:2389;1165915;590;0;514;935;0;924;948;
2017-04-13;10:50:37:2553;1165925;594;0;513;935;0;924;948;
2017-04-13;10:50:37:2721;1165935;593;0;511;935;0;924;948;
2017-04-13;10:50:37:2721;1165945;567;0;508;935;0;924;948;
2017-04-13;10:50:37:2888;1165955;545;0;507;935;0;924;948;
2017-04-13;10:50:37:2888;1165965;571;0;507;935;0;924;948;
2017-04-13;10:50:37:3054;1165975;546;0;508;935;0;924;948;
2017-04-13;10:50:37:3216;1165985;544;0;509;935;0;924;948;
2017-04-13;10:50:37:3221;1165995;530;0;508;935;0;924;948;
2017-04-13;10:50:37:3385;1166005;529;0;509;935;0;924;948;
2017-04-13;10:50:37:3385;1166015;522;0;509;935;0;924;948;
2017-04-13;10:50:37:3550;1166025;535;0;510;935;0;924;948;
2017-04-13;10:50:37:3717;1166035;531;0;512;935;0;924;948;
2017-04-13;10:50:37:3717;1166045;536;0;513;935;0;924;948;
2017-04-13;10:50:37:3881;1166055;525;0;516;935;0;924;948;
2017-04-13;10:50:37:3881;1166065;552;0;517;935;0;924;948;
2017-04-13;10:50:37:4047;1166075;514;0;518;935;0;924;948;
2017-04-13;10:50:37:4211;1166085;515;0;518;935;0;924;948;
2017-04-13;10:50:37:4211;1166095;508;0;518;935;0;924;948;
2017-04-13;10:50:37:4378;1166105;511;0;518;935;0;924;948;
2017-04-13;10:50:37:4378;1166115;311;0;518;935;0;924;948;
2017-04-13;10:50:37:4541;1166125;663;0;518;935;0;924;948;
2017-04-13;10:50:37:4712;1166135;654;0;517;935;0;924;948;
2017-04-13;10:50:37:4712;1166145;655;0;517;935;0;924;948;
2017-04-13;10:50:37:4874;1166155;652;0;516;935;0;924;948;
2017-04-13;10:50:37:4874;1166166;653;401;515;935;0;924;948;
2017-04-13;10:50:37:5042;1166176;651;0;513;935;0;924;948;
2017-04-13;10:50:37:5206;1166186;653;0;512;935;0;924;948;
2017-04-13;10:50:37:5206;1166196;650;0;512;935;0;924;948;
2017-04-13;10:50:37:5373;1166206;651;0;512;935;0;924;948;
2017-04-13;10:50:37:5535;1166216;650;0;512;935;0;924;948;
2017-04-13;10:50:37:5535;1166226;652;0;511;935;0;924;948;
2017-04-13;10:50:37:5704;1166236;650;0;510;935;0;924;948;
2017-04-13;10:50:37:5704;1166246;650;0;510;935;0;924;948;
2017-04-13;10:50:37:5869;1166256;650;0;510;935;0;924;948;
2017-04-13;10:50:37:6032;1166266;651;0;511;935;0;924;948;
2017-04-13;10:50:37:6037;1166276;649;0;513;935;0;924;948;
2017-04-13;10:50:37:6200;1166286;651;0;515;935;0;924;948;
2017-04-13;10:50:37:6200;1166296;649;0;515;935;0;924;948;
2017-04-13;10:50:37:6368;1166306;651;0;515;935;0;924;948;
