Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;12:06:49:3840;10;1;0;531;87;624;518;227;
2017-04-17;12:06:49:3846;20;1;0;531;86;624;518;227;
2017-04-17;12:06:49:4140;30;2;0;529;86;624;518;228;
2017-04-17;12:06:49:4140;40;2;0;526;86;624;518;228;
2017-04-17;12:06:49:4140;50;3;0;524;88;624;518;228;
2017-04-17;12:06:49:4332;60;3;0;522;89;624;518;228;
2017-04-17;12:06:49:4333;70;3;0;521;88;624;519;228;
2017-04-17;12:06:49:4622;80;4;0;520;87;624;518;229;
2017-04-17;12:06:49:4622;90;4;0;519;87;624;518;229;
2017-04-17;12:06:49:4622;100;4;0;516;88;624;518;229;
2017-04-17;12:06:49:4841;110;3;0;513;88;624;519;229;
2017-04-17;12:06:49:4841;120;3;0;509;86;624;518;229;
2017-04-17;12:06:49:5102;130;3;0;509;89;624;518;229;
2017-04-17;12:06:49:5102;140;3;0;509;88;624;518;229;
2017-04-17;12:06:49:5102;150;3;0;510;89;624;518;229;
2017-04-17;12:06:49:5344;160;3;0;510;90;624;518;229;
2017-04-17;12:06:49:5344;171;3;0;511;89;624;518;229;
2017-04-17;12:06:49:5619;181;3;0;510;89;624;518;229;
2017-04-17;12:06:49:5620;191;3;0;510;89;624;518;229;
2017-04-17;12:06:49:5620;201;3;0;510;89;624;517;229;
2017-04-17;12:06:49:5834;211;3;0;511;88;624;518;229;
2017-04-17;12:06:49:5836;221;3;0;514;87;624;518;229;
2017-04-17;12:06:49:6140;231;3;0;515;88;624;517;229;
2017-04-17;12:06:49:6140;241;3;0;514;87;624;517;229;
2017-04-17;12:06:49:6140;251;3;0;514;85;624;517;229;
2017-04-17;12:06:49:6442;261;4;0;514;86;624;517;229;
2017-04-17;12:06:49:6442;271;3;0;513;86;624;517;229;
2017-04-17;12:06:49:6442;281;3;0;512;87;624;517;228;
2017-04-17;12:06:49:6779;291;3;0;508;86;625;517;229;
2017-04-17;12:06:49:6779;301;3;0;506;86;625;517;229;
2017-04-17;12:06:49:6779;311;3;0;502;85;625;517;229;
2017-04-17;12:06:49:6993;321;3;0;502;86;625;517;229;
2017-04-17;12:06:49:6993;331;3;0;502;85;625;518;228;
2017-04-17;12:06:49:6993;342;3;0;503;86;625;517;228;
2017-04-17;12:06:49:7267;352;3;0;504;86;625;518;229;
2017-04-17;12:06:49:7267;362;3;0;506;86;625;517;228;
2017-04-17;12:06:49:7508;372;3;0;506;84;625;517;228;
2017-04-17;12:06:49:7508;382;3;0;507;83;625;517;228;
2017-04-17;12:06:49:7778;392;3;0;509;82;625;518;228;
2017-04-17;12:06:49:7778;402;3;0;511;82;625;518;228;
2017-04-17;12:06:49:7778;412;3;0;512;82;625;518;228;
2017-04-17;12:06:49:7994;422;3;0;512;81;625;518;228;
2017-04-17;12:06:49:7994;432;3;0;512;81;625;517;228;
2017-04-17;12:06:49:8259;442;3;0;513;81;625;517;228;
2017-04-17;12:06:49:8259;452;3;0;514;82;625;518;228;
2017-04-17;12:06:49:8259;462;4;0;514;83;625;517;228;
2017-04-17;12:06:49:8512;472;4;0;514;83;625;517;229;
2017-04-17;12:06:49:8513;482;4;0;512;83;625;517;228;
2017-04-17;12:06:49:8513;492;4;0;512;80;625;517;228;
2017-04-17;12:06:49:8780;502;4;0;511;79;625;517;228;
2017-04-17;12:06:49:8780;512;3;0;514;79;625;518;227;
2017-04-17;12:06:49:9035;522;4;0;520;81;625;517;227;
2017-04-17;12:06:49:9035;532;3;0;524;81;625;517;227;
2017-04-17;12:06:49:9037;542;3;0;525;84;625;517;227;
2017-04-17;12:06:49:9303;552;3;0;521;84;625;518;227;
2017-04-17;12:06:49:9304;562;4;0;518;84;625;518;227;
2017-04-17;12:06:49:9541;572;3;0;516;84;625;518;227;
2017-04-17;12:06:49:9542;582;3;0;516;83;625;518;227;
2017-04-17;12:06:49:9542;592;3;0;515;84;625;518;227;
2017-04-17;12:06:49:9817;602;4;0;514;83;625;518;227;
2017-04-17;12:06:49:9818;612;4;0;513;83;625;518;227;
2017-04-17;12:06:49:9818;622;4;0;512;82;625;518;227;
2017-04-17;12:06:50:0097;632;3;0;510;84;625;518;227;
2017-04-17;12:06:50:0097;642;4;0;511;85;625;518;227;
2017-04-17;12:06:50:0351;652;3;0;511;84;625;518;227;
2017-04-17;12:06:50:0351;662;3;0;512;82;625;517;227;
2017-04-17;12:06:50:0351;672;3;0;513;81;625;517;227;
2017-04-17;12:06:50:0620;683;3;0;513;83;625;517;226;
2017-04-17;12:06:50:0620;693;4;0;516;81;625;517;226;
2017-04-17;12:06:50:0863;703;4;0;517;83;625;517;226;
2017-04-17;12:06:50:0863;713;4;0;517;82;626;517;227;
2017-04-17;12:06:50:0863;723;4;0;517;80;626;517;227;
2017-04-17;12:06:50:1138;733;3;0;517;82;626;517;228;
2017-04-17;12:06:50:1138;743;4;0;517;83;625;517;228;
2017-04-17;12:06:50:1138;753;4;0;518;82;626;517;229;
2017-04-17;12:06:50:1363;763;4;0;518;82;626;517;229;
2017-04-17;12:06:50:1364;773;4;0;517;82;626;517;229;
2017-04-17;12:06:50:1629;783;4;0;516;79;626;517;228;
2017-04-17;12:06:50:1629;793;4;0;515;81;626;518;227;
2017-04-17;12:06:50:1630;803;4;0;513;81;626;517;227;
2017-04-17;12:06:50:1843;813;3;0;511;82;626;518;227;
2017-04-17;12:06:50:1843;823;4;0;510;82;626;518;227;
2017-04-17;12:06:50:2101;833;4;0;508;82;626;517;227;
2017-04-17;12:06:50:2101;843;4;0;508;81;626;518;227;
2017-04-17;12:06:50:2353;854;4;0;509;81;626;518;227;
2017-04-17;12:06:50:2354;864;4;0;510;81;626;518;227;
2017-04-17;12:06:50:2354;874;4;0;513;82;626;518;228;
2017-04-17;12:06:50:2620;884;4;0;515;82;626;518;228;
2017-04-17;12:06:50:2620;894;3;0;516;83;626;518;228;
2017-04-17;12:06:50:2822;904;3;0;518;82;626;518;228;
2017-04-17;12:06:50:2822;914;3;0;518;82;626;518;228;
2017-04-17;12:06:50:3098;924;4;0;517;82;626;518;228;
2017-04-17;12:06:50:3099;934;3;0;517;82;626;518;228;
2017-04-17;12:06:50:3099;944;4;0;515;84;626;518;227;
2017-04-17;12:06:50:3401;954;3;0;516;84;626;518;227;
2017-04-17;12:06:50:3401;964;4;0;515;83;626;518;227;
2017-04-17;12:06:50:3401;974;4;0;515;83;626;518;227;
2017-04-17;12:06:52:5956;984;4;0;515;83;626;518;227;
2017-04-17;12:06:52:5956;994;3;0;515;82;626;519;227;
2017-04-17;12:06:52:5956;1004;4;0;514;82;626;519;227;
2017-04-17;12:06:52:5957;1014;4;0;515;82;626;519;227;
